Drug Induced Liver Injury Rank (DILIrank) Dataset Ver 2.0 | FDA,,,,,,
LTKBID,CompoundName,SeverityClass,LabelSection,vDILI-Concern,Comment,
LT01224,Cladribine,3,Warnings & precautions,vLess-DILI-concern,Revised,
LT00187,Clarithromycin,8,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT02222,Clemastine fumarate,0,No match,vNo-DILI-concern,Unchanged,
LT00644,Clevidipine,0,No match,vNo-DILI-concern,Unchanged,
LT01225,Clindamycin hydrochloride,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT02346,Clindamycin phosphate,3,Warnings & precautions,vLess-DILI-concern,Revised,
LT01542,Clobazam,3,Adverse reactions,Ambiguous-DILI-concern,New,
LT01206,Clofarabine,8,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT00011,Clofibrate,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT00694,Clomacran,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT01228,Clometacin,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT00233,Clomiphene citrate,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT00185,Clomipramine hydrochloride,8,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT00532,Clonazepam,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01231,Clonidine hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT01023,Clopidogrel bisulfate,7,Adverse reactions,vLess-DILI-concern,Unchanged,
LT00341,Clorazepate dipotassium,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT00248,Clotrimazole,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT01235,Cloxacillin sodium,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT00287,Clozapine,5,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT03578,Cobicistat,5,Adverse reactions,Ambiguous-DILI-concern,New,
LT03613,Cobimetinib fumarate,4,Warnings & precautions,Ambiguous-DILI-concern,New,
LT01269,Codeine sulfate,0,No match,vNo-DILI-concern,Unchanged,
LT00076,Colchicine,6,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT01080,Colesevelam hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT00881,Colestipol hydrochloride,3,Adverse reactions,vLess-DILI-concern,Revised,
LT01275,Colistimethate sodium,0,No match,vNo-DILI-concern,Unchanged,
LT01210,Conivaptan hydrochloride,0,No match,vNo-DILI-concern,Unchanged,
LT03651,Copanlisib dihydrochloride,0,No match,vNo-DILI-concern,New,
LT03900,Copper cu-64 dotatate,0,No match,vNo-DILI-concern,New,
LT00438,Corticorelin ovine triflutate,0,No match,vNo-DILI-concern,Unchanged,
LT00077,Corticotropin,0,No match,vNo-DILI-concern,Unchanged,
LT00734,Cortisone acetate,0,No match,vNo-DILI-concern,Unchanged,
LT00855,Cosyntropin,0,No match,vNo-DILI-concern,Unchanged,
LT02436,Crizotinib,8,Warnings & precautions,vMost-DILI-concern,New,
LT02430,Crofelemer,4,Adverse reactions,Ambiguous-DILI-concern,New,
